Actual,Predicted,CustomerId,Gender,Age,Geography,Tenure,CreditScore,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited (Actual),Exited (Predicted)
0,0,15625047,0,38,0,5,846,0.0,1,1,1,187616.16,Retain,Retain
0,0,15738191,1,25,0,3,577,0.0,2,0,1,124508.29,Retain,Retain
0,1,15736816,1,36,1,2,756,136815.64,1,1,1,170041.95,Retain,Churn
0,0,15700772,1,44,0,9,571,0.0,2,0,0,38433.35,Retain,Retain
0,1,15728693,0,43,1,3,574,141349.43,1,1,1,100187.43,Retain,Churn
0,0,15656300,1,29,0,0,411,59697.17,2,1,1,53483.21,Retain,Retain
1,1,15589475,0,39,2,3,591,0.0,3,1,0,140469.38,Churn,Churn
0,1,15706552,1,36,0,7,533,85311.7,1,0,1,156731.91,Retain,Churn
0,0,15750181,1,41,1,9,553,110112.54,2,0,0,81898.81,Retain,Retain
0,0,15659428,0,42,2,6,520,0.0,2,1,1,34410.55,Retain,Retain
0,0,15732963,0,29,2,9,722,0.0,2,1,1,142033.07,Retain,Retain
1,1,15794171,0,45,0,0,475,134264.04,1,1,0,27822.99,Churn,Churn
0,1,15788448,1,31,2,3,490,145260.23,1,0,1,114066.77,Retain,Churn
0,1,15729599,1,33,2,7,804,76548.6,1,0,1,98453.45,Retain,Churn
0,0,15717426,1,36,0,7,850,0.0,1,1,1,40812.9,Retain,Retain
0,0,15585768,1,41,1,6,582,70349.48,2,0,1,178074.04,Retain,Retain
0,0,15619360,1,40,2,4,472,0.0,1,1,0,70154.22,Retain,Retain
1,1,15738148,0,51,0,8,465,122522.32,1,0,0,181297.65,Churn,Churn
0,1,15687946,0,61,0,2,556,117419.35,1,1,1,94153.83,Retain,Churn
1,1,15755196,0,49,0,2,834,131394.56,1,0,0,194365.76,Churn,Churn
0,1,15684171,0,61,2,5,660,155931.11,1,1,1,158338.39,Retain,Churn
0,0,15754849,0,32,1,4,776,109421.13,2,1,1,126517.46,Retain,Retain
1,1,15602280,0,27,1,9,829,112045.67,1,1,1,119708.21,Churn,Churn
1,1,15771573,0,39,1,9,637,137843.8,1,1,1,117622.8,Churn,Churn
0,1,15766205,1,38,1,2,550,103391.38,1,0,1,90878.13,Retain,Churn
0,0,15771873,0,37,1,2,776,103769.22,2,1,0,194099.12,Retain,Retain
0,1,15616550,1,44,1,10,698,116363.37,2,1,0,198059.16,Retain,Churn
0,0,15768193,1,36,1,5,585,146050.97,2,0,0,86424.57,Retain,Retain
0,0,15683553,0,33,0,5,788,0.0,2,0,0,116978.19,Retain,Retain
1,1,15702298,1,41,1,8,655,125561.97,1,0,0,164040.94,Churn,Churn
1,1,15569590,1,42,1,1,601,98495.72,1,1,0,40014.76,Churn,Churn
0,1,15760861,1,43,0,1,619,125211.92,1,1,1,113410.49,Retain,Churn
0,1,15630053,1,45,0,5,656,127864.4,1,1,0,87107.57,Retain,Churn
0,1,15647091,1,19,1,0,725,75888.2,1,0,0,45613.75,Retain,Churn
1,1,15623944,0,66,2,4,511,0.0,1,1,0,1643.11,Churn,Churn
0,1,15804771,1,51,0,4,614,40685.92,1,1,1,46775.28,Retain,Churn
0,1,15651280,1,35,1,5,742,136857.0,1,0,0,84509.57,Retain,Churn
0,1,15773469,0,27,1,9,687,152328.88,2,0,0,126494.82,Retain,Churn
0,0,15702014,1,33,2,1,555,56084.69,2,0,0,178798.13,Retain,Retain
0,1,15751208,1,56,2,8,684,78707.16,1,1,1,99398.36,Retain,Churn
0,1,15592461,1,26,1,4,603,109166.37,1,1,1,92840.67,Retain,Churn
0,0,15789484,0,36,1,6,751,169831.46,2,1,1,27758.36,Retain,Retain
0,1,15696061,0,34,1,1,581,101633.04,1,1,0,110431.51,Retain,Churn
0,1,15641582,1,43,1,10,735,123180.01,2,1,1,196673.28,Retain,Churn
0,0,15638424,0,35,1,5,661,150725.53,2,0,1,113656.85,Retain,Retain
0,1,15755648,0,21,0,8,675,98373.26,1,1,0,18203.0,Retain,Churn
1,1,15703793,1,58,1,2,738,133745.44,4,1,0,28373.86,Churn,Churn
0,0,15620344,1,29,0,6,813,0.0,1,1,0,33953.87,Retain,Retain
0,1,15812518,0,37,2,0,657,163607.18,1,0,1,44203.55,Retain,Churn
0,0,15779052,0,25,1,5,604,157780.84,2,1,1,58426.81,Retain,Retain
0,0,15770811,1,36,0,9,519,0.0,2,0,1,145562.4,Retain,Retain
0,1,15780961,0,21,0,1,735,178718.19,2,1,0,22388.0,Retain,Churn
0,0,15614049,1,55,0,8,664,0.0,2,1,1,139161.64,Retain,Retain
0,0,15662085,0,32,0,9,678,0.0,1,1,1,148210.64,Retain,Retain
0,1,15575185,1,33,2,5,757,77253.22,1,0,1,194239.63,Retain,Churn
0,0,15803136,0,41,1,10,416,122189.66,2,1,0,98301.61,Retain,Retain
0,0,15706021,0,34,0,1,665,96645.54,2,0,0,171413.66,Retain,Retain
1,0,15663706,0,32,0,2,777,0.0,1,1,0,136458.19,Churn,Retain
0,0,15641732,0,36,0,3,543,0.0,2,0,0,26019.59,Retain,Retain
0,1,15701164,0,34,0,4,506,90307.62,1,1,1,159235.29,Retain,Churn
0,0,15738751,0,46,0,4,493,0.0,2,1,0,1907.66,Retain,Retain
0,0,15805254,0,75,2,10,652,0.0,2,1,1,114675.75,Retain,Retain
1,1,15762418,1,22,2,3,750,121681.82,1,1,0,128643.35,Churn,Churn
0,0,15625759,1,30,0,9,729,0.0,2,1,0,151869.35,Retain,Retain
1,1,15622897,0,46,0,4,646,0.0,3,1,0,93251.42,Churn,Churn
0,0,15767954,0,28,1,3,635,81623.67,2,1,1,156791.36,Retain,Retain
1,1,15757535,0,44,2,5,647,0.0,3,1,1,174205.22,Churn,Churn
0,1,15731511,1,45,0,7,808,118626.55,2,1,0,147132.46,Retain,Churn
0,0,15809248,0,36,0,10,524,0.0,2,1,0,109614.57,Retain,Retain
0,0,15640635,1,29,0,8,769,0.0,2,1,1,172290.61,Retain,Retain
0,0,15676966,1,42,2,4,730,0.0,2,0,1,85982.47,Retain,Retain
0,1,15699461,1,35,2,10,515,176273.95,1,0,1,121277.78,Retain,Churn
0,1,15738721,1,41,2,9,773,102827.44,1,0,1,64595.25,Retain,Churn
0,0,15693683,1,29,1,8,814,97086.4,2,1,1,197276.13,Retain,Retain
0,0,15604348,1,22,2,8,710,0.0,2,0,0,99645.04,Retain,Retain
0,0,15633059,1,34,0,9,413,0.0,2,0,0,6534.18,Retain,Retain
0,0,15808582,0,40,0,6,665,0.0,1,1,1,161848.03,Retain,Retain
0,0,15743192,0,44,0,6,623,0.0,2,0,0,167162.43,Retain,Retain
0,1,15580146,1,31,0,9,738,82674.15,1,1,0,41970.72,Retain,Churn
0,0,15776605,1,36,2,7,528,0.0,2,1,0,60536.56,Retain,Retain
1,1,15804919,0,65,2,1,670,0.0,1,1,1,177655.68,Churn,Churn
1,1,15613854,0,46,2,4,622,107073.27,2,1,1,30984.59,Churn,Churn
0,1,15599195,1,32,1,1,582,88938.62,1,1,1,10054.53,Retain,Churn
0,1,15812878,0,36,1,2,785,99806.85,1,0,1,36976.52,Retain,Churn
0,1,15602312,1,33,2,5,605,150092.8,1,0,0,71862.79,Retain,Churn
1,1,15744689,1,35,1,9,479,92833.89,1,1,0,99449.86,Churn,Churn
0,1,15803526,1,30,1,3,685,90536.81,1,0,1,63082.88,Retain,Churn
0,0,15665790,1,39,1,7,538,108055.1,2,1,0,27231.26,Retain,Retain
0,1,15715951,1,42,0,2,562,100238.35,1,0,0,86797.41,Retain,Churn
0,1,15591100,1,36,2,9,675,106190.55,1,0,1,22994.32,Retain,Churn
1,0,15609618,1,28,1,9,721,154475.54,2,0,1,101300.94,Churn,Retain
0,0,15675522,0,30,1,9,628,132351.29,2,1,1,74169.13,Retain,Retain
0,1,15705512,0,37,1,6,668,167864.4,1,1,0,115638.29,Retain,Churn
0,0,15698028,0,41,0,1,506,0.0,2,1,0,31766.3,Retain,Retain
1,1,15661670,0,31,1,8,524,107818.63,1,1,0,199725.39,Churn,Churn
0,1,15600781,1,34,1,4,699,185173.81,2,1,0,120834.48,Retain,Churn
0,0,15682472,1,34,0,8,828,129433.34,2,0,0,38131.77,Retain,Retain
0,1,15580203,1,39,2,6,674,120193.42,1,0,0,100130.95,Retain,Churn
0,0,15690673,0,39,0,6,656,0.0,2,1,0,141069.88,Retain,Retain
0,1,15760085,0,48,1,10,684,126384.42,1,1,1,198129.36,Retain,Churn
0,0,15779659,0,28,0,3,625,0.0,1,0,0,183646.41,Retain,Retain
1,1,15627360,1,42,0,9,432,152603.45,1,1,0,110265.24,Churn,Churn
1,1,15671137,0,52,0,1,549,0.0,1,0,1,8636.05,Churn,Churn
1,1,15782688,1,56,1,0,625,148507.24,1,1,0,46824.08,Churn,Churn
0,0,15575492,0,41,0,7,828,0.0,2,1,0,171378.77,Retain,Retain
0,1,15591607,1,24,0,9,770,101827.07,1,1,0,167256.35,Retain,Churn
0,0,15740404,0,34,0,3,758,0.0,2,1,1,124226.16,Retain,Retain
0,1,15718369,0,33,1,9,795,130862.43,1,1,1,114935.21,Retain,Churn
0,1,15677871,1,38,0,9,687,122570.87,1,1,1,35608.88,Retain,Churn
0,0,15642004,1,25,0,1,686,0.0,2,0,1,16459.37,Retain,Retain
0,0,15712543,1,39,1,7,789,124828.46,2,1,1,124411.08,Retain,Retain
0,1,15584518,0,50,1,5,589,144895.05,2,1,1,34941.23,Retain,Churn
0,1,15802381,0,34,1,5,461,63663.93,1,0,1,167784.28,Retain,Churn
0,1,15610156,1,40,0,2,637,133463.1,1,0,1,93165.34,Retain,Churn
1,1,15594408,0,48,2,2,584,213146.2,1,1,0,75161.25,Churn,Churn
1,0,15640905,0,35,2,1,579,129490.36,2,0,1,8590.83,Churn,Retain
0,1,15698932,1,44,1,10,756,137452.09,1,1,0,189543.9,Retain,Churn
0,0,15724944,1,34,0,7,663,0.0,2,1,1,180427.24,Retain,Retain
0,1,15628145,0,43,0,5,682,125851.93,1,1,1,193318.33,Retain,Churn
1,1,15713483,1,52,2,2,793,0.0,1,1,0,159123.82,Churn,Churn
1,1,15612350,0,31,0,5,691,40915.55,1,1,0,126213.84,Churn,Churn
0,1,15800703,0,21,2,5,485,113157.22,1,1,1,54141.5,Retain,Churn
0,0,15705707,0,29,2,8,635,138296.94,2,1,0,141075.51,Retain,Retain
0,1,15754105,1,37,0,5,650,106967.18,1,0,0,24495.03,Retain,Churn
0,1,15703264,1,44,0,9,735,120681.63,1,1,0,74836.34,Retain,Churn
0,0,15794413,1,32,0,0,416,0.0,2,0,1,878.87,Retain,Retain
0,0,15650237,0,32,2,7,754,0.0,2,1,0,89520.75,Retain,Retain
1,1,15759618,0,48,0,9,535,0.0,1,1,0,149892.79,Churn,Churn
0,0,15811589,1,42,2,8,716,0.0,2,1,0,180800.42,Retain,Retain
0,1,15689044,1,37,0,2,539,127609.59,1,1,0,98646.22,Retain,Churn
0,0,15709368,0,43,0,6,614,0.0,2,1,1,109041.53,Retain,Retain
1,1,15679145,1,57,2,7,706,0.0,1,1,0,17941.16,Churn,Churn
0,0,15655007,0,33,0,7,758,0.0,2,0,0,82996.47,Retain,Retain
0,0,15623595,0,28,2,2,586,0.0,2,1,1,92067.35,Retain,Retain
0,1,15589975,0,73,0,6,646,97259.25,1,0,1,104719.66,Retain,Churn
0,1,15804017,0,33,1,4,631,123246.7,1,0,0,112687.57,Retain,Churn
0,1,15692132,0,22,2,6,717,101060.25,1,0,1,84699.56,Retain,Churn
0,0,15641122,1,30,0,2,684,0.0,2,1,0,83473.82,Retain,Retain
0,1,15630910,0,49,0,7,800,108007.36,1,0,0,47125.11,Retain,Churn
0,0,15680772,0,36,2,2,721,0.0,2,1,1,106977.8,Retain,Retain
1,1,15658929,1,29,2,0,683,133702.89,1,1,0,55582.54,Churn,Churn
0,0,15585388,1,31,1,9,660,125189.75,2,1,1,139874.43,Retain,Retain
1,1,15724623,0,24,1,7,704,113034.22,1,1,0,162503.48,Churn,Churn
0,1,15588537,0,41,2,9,615,109013.23,1,1,0,196499.96,Retain,Churn
1,0,15574692,0,39,2,2,667,0.0,2,1,0,40721.24,Churn,Retain
0,0,15611325,1,24,1,9,682,57929.81,2,0,0,53134.3,Retain,Retain
0,1,15587562,0,29,0,4,484,130114.39,1,1,0,164017.89,Retain,Churn
0,0,15613172,1,27,1,5,628,95826.49,2,1,0,155996.96,Retain,Retain
1,1,15651022,1,44,1,10,480,129608.57,1,1,0,5472.7,Churn,Churn
0,1,15586310,1,30,0,4,578,169462.09,1,1,0,112187.11,Retain,Churn
0,0,15625524,1,40,0,5,512,0.0,2,1,1,146457.83,Retain,Retain
0,1,15755209,0,35,2,7,484,133868.21,1,1,1,27286.1,Retain,Churn
0,0,15645248,0,30,0,0,510,0.0,2,1,1,130553.47,Retain,Retain
0,1,15790355,1,36,1,5,606,190479.48,2,0,0,179351.89,Retain,Churn
0,1,15762615,0,40,2,8,597,101993.12,1,0,1,94774.12,Retain,Churn
1,1,15625426,0,55,1,3,754,161608.81,1,1,0,8080.85,Churn,Churn
0,1,15716334,0,45,2,2,850,122311.21,1,1,1,19482.5,Retain,Churn
0,0,15789669,1,65,0,2,510,0.0,2,1,1,48071.61,Retain,Retain
0,1,15621075,0,45,1,1,778,162150.42,2,1,0,174531.27,Retain,Churn
0,0,15810845,1,42,0,2,636,0.0,2,1,1,55470.78,Retain,Retain
1,1,15719377,0,50,0,4,804,0.0,1,1,1,8546.87,Churn,Churn
0,0,15654506,1,32,0,8,514,0.0,2,1,0,95857.18,Retain,Retain
0,1,15771977,0,39,0,1,730,99010.67,1,1,0,194945.8,Retain,Churn
0,0,15708710,0,37,2,0,525,0.0,1,0,1,131521.72,Retain,Retain
0,0,15726676,1,30,2,5,616,0.0,2,0,1,196108.51,Retain,Retain
0,0,15587421,0,34,1,7,687,111388.18,2,1,0,148564.76,Retain,Retain
1,0,15726931,0,41,0,8,715,56214.85,2,0,0,92982.61,Churn,Retain
0,0,15771086,0,36,0,3,512,84327.77,2,1,0,17675.36,Retain,Retain
0,0,15756850,1,40,0,1,479,0.0,2,0,0,114996.43,Retain,Retain
0,1,15702741,1,32,0,8,601,93012.89,1,1,0,86957.42,Retain,Churn
0,0,15679200,1,29,2,9,580,61710.44,2,1,0,128077.8,Retain,Retain
0,1,15594815,1,35,0,3,807,174790.15,1,1,1,600.36,Retain,Churn
0,0,15635905,0,32,2,6,616,0.0,2,1,1,43001.46,Retain,Retain
0,1,15777892,1,37,1,3,721,107720.64,1,1,1,158591.12,Retain,Churn
0,0,15656176,1,57,0,10,501,0.0,2,1,1,47847.19,Retain,Retain
0,1,15811127,1,35,0,6,521,96423.84,1,1,0,10488.44,Retain,Churn
0,1,15604482,1,30,2,2,850,141040.01,1,1,1,5978.2,Retain,Churn
0,1,15622911,1,42,0,4,759,105420.18,1,0,1,121409.06,Retain,Churn
1,1,15600974,1,50,2,5,516,0.0,1,0,1,146145.93,Churn,Churn
1,0,15727868,0,38,0,2,711,129022.06,2,1,1,14374.86,Churn,Retain
0,1,15627801,1,33,2,3,512,176666.62,1,1,0,94670.77,Retain,Churn
0,0,15773039,1,37,0,3,550,0.0,1,1,1,179670.31,Retain,Retain
1,1,15755262,0,41,2,3,608,89763.84,1,0,0,199304.74,Churn,Churn
0,1,15679531,1,34,0,5,618,134954.53,1,1,1,151954.39,Retain,Churn
1,1,15684181,1,45,0,5,643,0.0,1,1,0,142513.5,Churn,Churn
0,1,15612087,1,45,0,2,671,106376.85,1,0,1,158264.62,Retain,Churn
0,1,15752047,1,33,1,2,689,161814.64,2,1,0,169381.9,Retain,Churn
0,0,15624592,1,31,0,8,603,0.0,2,1,1,169915.02,Retain,Retain
0,0,15573152,0,41,0,9,620,0.0,2,0,0,88852.47,Retain,Retain
0,1,15594917,0,34,0,1,676,63095.01,1,1,1,40645.81,Retain,Churn
0,0,15785542,1,26,1,4,572,118287.01,2,0,0,60427.3,Retain,Retain
1,1,15723488,1,47,1,7,668,106854.21,1,0,1,157959.02,Churn,Churn
0,1,15680920,1,46,0,7,695,49512.55,1,1,0,133007.34,Retain,Churn
0,0,15786308,0,33,2,9,730,0.0,2,0,0,176576.62,Retain,Retain
1,1,15659366,1,43,0,1,807,105799.32,2,1,0,34888.04,Churn,Churn
1,1,15774854,1,54,0,8,592,0.0,1,1,1,28737.71,Churn,Churn
0,0,15725311,0,31,0,9,726,114722.05,2,1,1,98178.57,Retain,Retain
0,0,15787155,1,30,2,7,514,0.0,1,0,1,125010.24,Retain,Retain
0,0,15727829,1,42,0,2,567,0.0,2,1,1,167984.61,Retain,Retain
1,0,15733247,1,33,0,10,850,0.0,1,1,0,4861.72,Churn,Retain
1,1,15568748,1,45,1,6,671,99564.22,1,1,1,108872.45,Churn,Churn
0,1,15699029,1,37,0,4,670,170557.91,2,1,0,198252.88,Retain,Churn
0,0,15774393,0,30,0,9,694,0.0,2,1,1,26960.31,Retain,Retain
1,1,15676895,0,39,1,6,547,74596.15,3,1,1,85746.52,Churn,Churn
1,1,15637753,1,50,1,2,751,96888.39,1,1,0,77206.25,Churn,Churn
0,1,15605461,0,29,1,3,594,130830.22,1,1,0,61048.53,Retain,Churn
0,0,15808473,1,72,0,1,673,0.0,2,0,1,111981.19,Retain,Retain
0,0,15627000,1,40,0,0,610,0.0,2,1,0,62232.6,Retain,Retain
0,0,15787174,0,37,0,1,512,0.0,2,0,1,156105.03,Retain,Retain
0,0,15723886,1,20,1,3,767,119714.25,2,0,1,150135.38,Retain,Retain
0,1,15704769,0,67,0,5,585,113978.97,2,0,1,93146.11,Retain,Churn
1,1,15772896,1,42,1,6,763,100160.75,1,1,0,33462.94,Churn,Churn
0,0,15711540,0,29,0,2,712,0.0,1,1,1,144375.0,Retain,Retain
1,1,15764866,0,43,1,3,539,116220.5,3,1,0,55803.96,Churn,Churn
1,1,15794056,0,46,0,2,668,0.0,3,1,0,89048.46,Churn,Churn
0,0,15795149,1,28,0,2,703,81173.83,2,0,1,162812.16,Retain,Retain
0,0,15812009,1,38,2,4,662,0.0,2,1,0,136259.65,Retain,Retain
0,1,15651001,0,39,1,5,725,116803.8,1,1,0,124052.97,Retain,Churn
0,0,15813844,1,37,0,8,703,105961.68,2,0,1,74158.8,Retain,Retain
1,1,15596175,1,67,1,6,659,117411.6,1,1,1,45071.09,Churn,Churn
0,0,15576269,1,34,2,7,523,0.0,2,1,0,62030.06,Retain,Retain
1,1,15797219,0,40,0,10,635,123497.58,1,1,0,131953.23,Churn,Churn
0,1,15685500,1,26,1,7,772,152400.51,2,1,0,79414.0,Retain,Churn
0,0,15599792,0,26,0,1,545,0.0,2,1,1,199638.56,Retain,Retain
0,1,15657566,1,24,1,8,634,103097.85,1,1,1,157577.29,Retain,Churn
1,1,15772423,1,54,1,8,739,126418.14,1,1,0,134420.75,Churn,Churn
0,1,15628112,0,36,1,5,771,77846.9,1,0,0,99805.99,Retain,Churn
0,0,15753754,0,34,2,1,587,0.0,2,1,1,97932.68,Retain,Retain
0,0,15793726,0,79,0,0,681,0.0,2,0,1,170968.99,Retain,Retain
0,1,15694717,1,37,1,2,544,79731.91,1,1,1,57558.95,Retain,Churn
0,0,15665834,1,28,2,8,696,0.0,1,0,0,176713.47,Retain,Retain
0,0,15765297,1,41,2,0,766,0.0,2,0,1,34283.23,Retain,Retain
0,0,15636684,1,34,0,10,727,0.0,2,1,1,198637.34,Retain,Retain
0,0,15592979,0,34,1,6,671,37266.67,2,0,0,156917.12,Retain,Retain
0,1,15750803,0,30,0,6,693,127992.25,1,1,1,50457.2,Retain,Churn
0,1,15607178,1,38,1,3,850,54901.01,1,1,1,140075.55,Retain,Churn
0,0,15713853,1,42,1,9,732,108748.08,2,1,1,65323.11,Retain,Retain
0,1,15673481,0,48,2,6,726,99906.19,1,1,0,64323.24,Retain,Churn
0,1,15686776,0,32,0,6,557,184686.41,2,1,0,14956.44,Retain,Churn
0,1,15673693,0,26,0,0,682,110654.02,1,0,1,111879.21,Retain,Churn
0,1,15700696,1,31,2,9,738,79019.8,1,1,1,18606.23,Retain,Churn
0,1,15813163,0,36,2,9,531,99240.51,1,1,0,123137.01,Retain,Churn
0,0,15653857,1,34,0,2,498,0.0,2,1,1,148528.24,Retain,Retain
0,0,15777076,1,36,0,7,651,0.0,2,1,0,13898.31,Retain,Retain
1,0,15717398,0,39,2,7,549,0.0,1,0,0,81259.25,Churn,Retain
0,1,15799217,0,35,1,7,791,52436.2,1,1,0,161051.75,Retain,Churn
0,0,15787071,1,41,2,9,650,0.0,2,0,1,191599.67,Retain,Retain
1,1,15619955,1,34,1,3,733,100337.96,3,1,0,48559.19,Churn,Churn
0,0,15796505,0,34,1,1,811,149297.19,2,1,1,186339.74,Retain,Retain
0,0,15725166,1,30,0,8,707,0.0,2,1,0,33159.37,Retain,Retain
0,1,15800116,1,28,1,4,712,145605.44,1,0,1,93883.53,Retain,Churn
0,0,15758685,0,37,2,7,706,0.0,2,1,1,110899.3,Retain,Retain
1,1,15694456,1,62,0,3,756,0.0,1,1,1,11199.04,Churn,Churn
0,0,15767339,0,53,0,10,777,0.0,2,1,0,189992.97,Retain,Retain
0,1,15683562,1,35,0,6,646,84026.86,1,0,1,164255.69,Retain,Churn
1,1,15782210,1,46,0,1,714,0.0,1,1,0,152167.79,Churn,Churn
0,0,15668893,1,39,0,8,782,0.0,2,1,1,33949.67,Retain,Retain
0,0,15669169,1,29,2,10,775,0.0,2,1,1,68143.93,Retain,Retain
1,1,15643024,1,35,1,4,479,138718.92,1,1,1,47251.79,Churn,Churn
0,1,15699389,1,42,0,7,807,118274.71,1,1,1,25885.72,Retain,Churn
0,0,15708608,0,22,0,8,799,174185.98,2,0,1,192633.85,Retain,Retain
0,0,15626144,1,40,0,7,675,113208.86,2,1,0,34577.36,Retain,Retain
0,1,15573112,1,29,2,5,602,103907.28,1,1,0,161229.84,Retain,Churn
0,1,15790678,0,32,0,8,475,119023.28,1,1,0,100816.29,Retain,Churn
0,1,15727556,0,26,2,5,744,166297.89,1,1,1,181694.44,Retain,Churn
0,0,15697307,1,34,2,10,588,0.0,2,1,0,79078.91,Retain,Retain
0,1,15652266,1,42,1,9,703,63227.0,1,0,1,137316.32,Retain,Churn
0,0,15607098,0,41,2,5,747,94521.17,2,1,0,194926.86,Retain,Retain
0,0,15655774,1,27,0,7,583,0.0,2,1,0,51285.49,Retain,Retain
1,1,15590241,0,34,2,9,750,112822.26,1,0,0,150401.53,Churn,Churn
0,0,15785819,1,38,0,3,681,0.0,2,1,1,112491.96,Retain,Retain
0,1,15723654,1,25,0,2,773,135903.33,1,1,0,73656.38,Retain,Churn
0,1,15774510,0,31,0,4,714,125169.26,1,1,1,106636.89,Retain,Churn
1,1,15684173,0,44,2,7,687,0.0,3,1,0,155853.52,Churn,Churn
0,1,15650068,1,58,0,0,511,149117.31,1,1,1,162599.51,Retain,Churn
0,0,15811490,1,33,0,5,627,0.0,2,1,1,103737.82,Retain,Retain
0,0,15803976,0,31,0,10,694,0.0,2,1,0,160990.27,Retain,Retain
0,1,15682541,0,36,2,6,616,132311.71,1,0,0,15462.84,Retain,Churn
0,0,15695699,1,35,0,8,687,0.0,2,1,0,10334.05,Retain,Retain
0,0,15624188,0,33,0,6,712,0.0,2,1,1,190686.16,Retain,Retain
0,1,15812191,1,33,0,4,553,118082.89,1,0,0,94440.45,Retain,Churn
0,1,15636673,1,31,0,1,667,119266.69,1,1,1,28257.63,Retain,Churn
1,1,15594898,1,43,0,2,731,0.0,1,1,1,170034.95,Churn,Churn
0,1,15660211,1,35,1,7,629,156847.29,2,1,0,31824.29,Retain,Churn
1,1,15773972,1,50,0,4,614,137104.47,1,1,0,127166.49,Churn,Churn
0,1,15746726,1,31,1,8,438,78398.69,1,1,0,44937.01,Retain,Churn
0,0,15712287,0,80,0,4,652,0.0,2,1,1,188603.07,Retain,Retain
0,1,15702919,1,30,1,6,729,63669.42,1,1,0,145111.37,Retain,Churn
0,0,15674398,1,38,0,3,642,0.0,2,0,0,171463.83,Retain,Retain
0,1,15797960,0,59,1,0,806,135296.33,1,1,0,182822.5,Retain,Churn
0,1,15631868,1,36,2,2,744,153804.44,1,1,1,87213.33,Retain,Churn
0,0,15581539,1,37,2,3,474,0.0,2,0,0,57175.32,Retain,Retain
1,1,15662736,1,49,0,2,559,147069.78,1,1,0,120540.83,Churn,Churn
0,0,15666252,1,42,2,9,706,0.0,2,1,1,28714.34,Retain,Retain
0,0,15677512,0,22,2,3,628,0.0,1,1,0,85426.28,Retain,Retain
0,1,15626114,1,24,0,4,429,95741.75,1,1,0,46170.75,Retain,Churn
0,1,15810834,0,57,2,2,525,145965.33,1,1,1,64448.36,Retain,Churn
0,1,15678910,0,30,0,8,680,141441.75,1,1,1,16278.97,Retain,Churn
1,1,15694408,1,40,0,1,749,139290.41,1,1,0,182855.42,Churn,Churn
0,0,15585215,0,31,0,4,763,0.0,2,0,0,50404.72,Retain,Retain
0,0,15682757,1,30,0,3,734,0.0,2,1,0,107640.25,Retain,Retain
0,1,15736601,1,35,0,4,716,144428.87,1,1,0,134132.65,Retain,Churn
0,0,15601848,1,35,0,2,594,0.0,2,1,0,103480.69,Retain,Retain
1,1,15736008,0,46,0,9,644,95441.27,1,1,0,108761.05,Churn,Churn
0,1,15669064,1,35,1,1,671,144848.74,1,1,1,179012.3,Retain,Churn
0,0,15624528,1,26,1,7,664,116244.14,2,1,1,95145.14,Retain,Retain
0,0,15598493,1,50,0,7,656,0.0,2,0,1,72143.44,Retain,Retain
0,1,15601274,0,40,2,1,667,146502.07,1,1,0,19162.89,Retain,Churn
